,cpu,screen_size,ram,graphic_ram,hdd,ssd,prices,is_unified,company
448,Core i5,17.3,8,2.0,0,1000,31180000,0,asus
449,Ryzen 7,17.3,16,4.0,0,1000,57479000,0,asus
450,Core i7,15.6,8,2.0,0,256,24455214,0,hp
451,Core i5,15.6,8,0.0,0,512,23049000,1,asus
452,Core i5,15.6,16,4.0,0,1000,29990000,0,hp
454,Core i5,15.6,16,0.0,0,512,27750000,1,asus
455,Core i5,15.6,16,8.0,0,1000,20400000,0,asus
456,M2,16.0,64,0.0,0,1000,216900000,1,apple
457,Core i5,15.6,8,4.0,0,1000,34779000,0,asus
458,Core i7,15.6,32,6.0,0,2000,59470000,0,lenovo
459,Core i7,17.3,16,4.0,1000,128,29800000,0,other
460,Core i5,15.6,16,4.0,0,512,35300000,0,asus
461,Core i5,15.6,16,4.0,0,1000,41979000,0,asus
462,Core i3,15.6,8,2.0,0,256,18588000,0,lenovo
464,Core i7,15.6,32,0.0,0,1000,52640000,1,hp
465,M1,16.0,64,0.0,0,4000,181390000,1,apple
466,Core i9,17.3,16,8.0,0,1000,109380000,0,asus
467,Ryzen 5,16.0,16,4.0,0,512,45696000,0,asus
468,Core i5,15.6,16,4.0,0,1000,45990000,0,asus
469,Core i5,15.6,16,2.0,0,512,18099000,0,lenovo
470,Core i7,13.3,16,0.0,0,512,45500000,1,hp
471,Core i7,13.0,16,2.0,0,512,36000000,0,other
472,Core i7,13.3,16,0.0,0,1000,74809000,1,asus
473,Ryzen 7,15.6,16,8.0,0,512,67999000,0,asus
474,Ryzen 7,15.6,8,2.0,0,512,33350000,0,asus
475,Core i7,16.0,32,6.0,0,1000,58190000,0,hp
476,Ryzen 9,16.0,32,16.0,0,2000,328979000,0,asus
477,Ryzen 9,14.0,32,16.0,0,1000,327979000,0,asus
478,Core i7,13.4,16,0.0,0,1000,69449000,1,msi
479,Ryzen 9,17.3,16,8.0,0,1000,67800000,0,asus
480,Core i3,15.6,4,0.0,0,256,16000000,1,asus
481,Core i3,15.6,12,0.0,0,512,16670000,1,lenovo
482,Core i5,15.6,16,2.0,0,1000,26870000,0,asus
483,Core i7,15.6,8,0.0,0,512,29900000,1,asus
484,Core i5,13.5,8,0.0,0,256,18800000,1,microsoft
485,Core i3,15.6,8,0.0,1000,256,14550000,1,lenovo
486,Core i5,14.0,8,0.0,0,256,10500000,1,hp
487,Core i7,17.3,16,4.0,0,1000,53270000,0,asus
488,Core i7,15.6,8,4.0,1000,256,25990000,0,lenovo
489,Core i7,15.6,16,4.0,0,1000,56979000,0,lenovo
490,Ryzen 5,15.6,8,2.0,1000,0,18389000,0,lenovo
491,Core i7,15.0,16,0.0,256,256,23000000,1,apple
